method,strategy,symbol,open_time_utc,available_at_utc,spot,short,average,collateral,mark_close,mark_method,runtime_position_match,close_causes,source,balance,maintenance,liquidation_price,ratio,distance,liquidate,preventive
last_official,permanent,BTCUSDT,2022-07-12T13:07:00.000000000Z,2022-07-12T13:08:00.000000000Z,0.14600377,0.146,28309.78150684931506849315068,2068.013650000000000000000000,19918.70000000,official,False,[],persisted_ledger_and_causal_mark,3293.111549999999999999999999,11.63252080000000,42305.03840801178846258800414,0.003532379824789111683750889035,1.123885515019142236320041174,False,False
last_official,permanent,ETHUSDT,2022-07-12T13:07:00.000000000Z,2022-07-12T13:08:00.000000000Z,0.0000690,0.000,0,0E-24,1074.65000000,last_official,True,[],persisted_ledger_and_causal_mark,,,,,,,
last_official,permanent,BTCUSDT,2022-07-12T13:15:00.000000000Z,2022-07-12T13:16:00.000000000Z,0.14600377,0.146,28309.78150684931506849315068,2068.013650000000000000000000,19906,official,False,[],persisted_ledger_and_causal_mark,3294.965749999999999999999999,11.625104,42305.03840801178846258800414,0.003528141074000541583778222885,1.125240550990243567898523266,False,False
last_official,permanent,ETHUSDT,2022-07-12T13:15:00.000000000Z,2022-07-12T13:16:00.000000000Z,0.0000690,0.000,0,0E-24,1075.28000000,last_official,True,[],persisted_ledger_and_causal_mark,,,,,,,
last_official,permanent,BTCUSDT,2022-07-12T13:16:00.000000000Z,2022-07-12T13:17:00.000000000Z,0.14600377,0.146,28309.78150684931506849315068,2068.013650000000000000000000,19916.30000000,official,False,[],persisted_ledger_and_causal_mark,3293.461949999999999999999999,11.63111920000000,42305.03840801178846258800414,0.003531578435269306815583522987,1.124141452378794678860431111,False,False
last_official,permanent,ETHUSDT,2022-07-12T13:16:00.000000000Z,2022-07-12T13:17:00.000000000Z,0.0000690,0.000,0,0E-24,1075.28000000,last_official,True,[],persisted_ledger_and_causal_mark,,,,,,,
last_official,permanent,BTCUSDT,2022-07-12T13:17:00.000000000Z,2022-07-12T13:18:00.000000000Z,0.14600377,0.146,28309.78150684931506849315068,2068.013650000000000000000000,19915.42238191,official,False,[],persisted_ledger_and_causal_mark,3293.590082241139999999999999,11.63060667103544,42305.03840801178846258800414,0.003531285430371874016142402964,1.124235057471801384049624334,False,False
last_official,permanent,ETHUSDT,2022-07-12T13:17:00.000000000Z,2022-07-12T13:18:00.000000000Z,0.0000690,0.000,0,0E-24,1075.28000000,last_official,True,[],persisted_ledger_and_causal_mark,,,,,,,
last_official,permanent,BTCUSDT,2022-07-12T13:18:00.000000000Z,2022-07-12T13:19:00.000000000Z,0.14600377,0.146,28309.78150684931506849315068,2068.013650000000000000000000,19898.20000000,official,False,[],persisted_ledger_and_causal_mark,3296.104549999999999999999999,11.62054880000000,42305.03840801178846258800414,0.003525540110673977255970233105,1.126073635203776646258857793,False,False
last_official,permanent,ETHUSDT,2022-07-12T13:18:00.000000000Z,2022-07-12T13:19:00.000000000Z,0.0000690,0.000,0,0E-24,1075.28000000,last_official,True,[],persisted_ledger_and_causal_mark,,,,,,,
last_official,permanent,BTCUSDT,2022-07-12T13:19:00.000000000Z,2022-07-12T13:20:00.000000000Z,0.14600377,0.146,28309.78150684931506849315068,2068.013650000000000000000000,19909.19947294,official,False,[],persisted_ledger_and_causal_mark,3294.498626950759999999999999,11.62697249219696,42305.03840801178846258800414,0.003529208480186365615858056524,1.124899017939498566380372819,False,False
