date,strategy,equity_usdt,daily_return,net_pnl_usdt
2024-11-15,permanent,11179.91979950904673170249999,0.000088315390014901005643672,0.98727178613611200000000
2024-11-16,permanent,11181.89638037009585970249999,0.000176797409685884085332331,1.97658086104912800000000
2024-11-17,permanent,11184.51498373812511431649999,0.000234182403319908485515417,2.61860336802925461400000
2024-11-18,permanent,11187.29705569208821510309999,0.000248743191636662961930938,2.78207195396310078660000
2024-11-19,permanent,11194.85235687725581588629999,0.000675346435117986725734883,7.55530118516760078320000
2024-11-20,permanent,11190.56396639800989778729999,-0.0003830680693713178799571901,-4.28839047924591809900000
2024-11-21,permanent,11184.68711466173101231249999,-0.0005251613550421008386162915,-5.87685173627888547480000
2024-11-22,permanent,11190.62927779488662269099999,0.000531276652823499640117792,5.94216313315561037850000
2024-11-23,permanent,11193.91482116269735794529999,0.000293597731302752220127452,3.28554336781073525430000
2024-11-24,permanent,11197.95549715967831726059999,0.000360970765057265243731096,4.04067599698095931530000
2024-11-25,permanent,11201.88283423769856955459999,0.000350719118236932394496442,3.92733707802025229400000
2024-11-26,permanent,11206.34014908389623340499999,0.000397907647504955305960241,4.45731484619766385040000
2024-11-27,permanent,11209.83880678391563340499998,0.000312203418196743807330698,3.49865770001939999999999
2024-11-28,permanent,11212.12101714881725374799998,0.000203589935969505948075948,2.28221036490162034300000
2024-11-29,permanent,11215.14345214639058640399998,0.000269568531498237592332041,3.02243499757333265600000
2024-11-30,permanent,11218.70676570089386017199998,0.000317723404048061038797592,3.56331355450327376800000
2024-12-01,permanent,11219.73203136422872140059998,0.000091388934994666231047940,1.02526566333486122860000
2024-12-02,permanent,11226.14161034109028850659998,0.000571277367315359501827805,6.40957897686156710600000
2024-12-03,permanent,11230.71523711277170348699998,0.000407408612008632221359437,4.57362677168141498040000
2024-12-04,permanent,11233.53282813638389217659998,0.000250882598670228952184118,2.81759102361218868960000
2024-12-05,permanent,11243.24702991391519247219998,0.000864750379613468671573203,9.71420177753130029560000
2024-12-06,permanent,11246.05790141592829506019998,0.000250005313814991775318192,2.81087150201310258800000
2024-12-07,permanent,11250.15051684249404889219998,0.000363915557117172186857156,4.09261542656575383200000
